9021017384331000,"Arvika, Skepparegatan",59.654407,12.576124
9021017384360000,"Arvika, Skogsstigen",59.663831,12.596967
9021017384232000,"Arvika, Sluttningen",59.636190,12.603600
9021017384384000,"Arvika, Smedberg",59.656501,12.599212
9021017384059000,"Arvika, Smedjan",59.645620,12.628200
9021017384364000,"Arvika, Smultrongatan",59.667273,12.579111
9021017384060000,"Arvika, Solbergs gränd",59.654873,12.586641
9021017384381000,"Arvika, Solviksvägen 11",59.650351,12.631781
9021017384378000,"Arvika, Solviksvägen 17",59.651226,12.632692
9021017384379000,"Arvika, Solviksvägen 43",59.652504,12.635376
9021017384357000,"Arvika, Solvändsgatan 1",59.665861,12.600271
9021017384063000,"Arvika, Stadsparken",59.654089,12.598999
9021017384193000,"Arvika, Stefans väg",59.670392,12.615909
9021017384376000,"Arvika, Stenrikevägen 20",59.650450,12.634381
9021017384377000,"Arvika, Stenrikevägen 36",59.651468,12.636734
9021017384410000,"Arvika, Stränggatan",59.674425,12.597481
9021017384018000,"Arvika, Swegon",59.660884,12.625352
9021017384253000,"Arvika, Symfonivägen",59.628825,12.595203
9021017384067000,"Arvika, Sågudden",59.651307,12.604642
9021017384373000,"Arvika, Sävsjöbäcken",59.655677,12.566434
9021017384355000,"Arvika, Södra Kinna",59.643409,12.554558
9021017384369000,"Arvika, Taserudsgatan 8",59.661358,12.604216
9021017384071000,"Arvika, Taserudsgymnasiet",59.661370,12.610961
9021017384265000,"Arvika, Tingshuset",59.652973,12.601839
9021017384338000,"Arvika, Tjäderstigen",59.665233,12.592962
9021017384074000,"Arvika, Tobaken",59.655371,12.582439
9021017384326000,"Arvika, Tornstigen",59.642103,12.615829
9021017384267000,"Arvika, Tranbärsvägen",59.666819,12.571271
9021017384375000,"Arvika, Trastgatan",59.649409,12.634461
9021017384072000,"Arvika, Verken",59.650336,12.607894
9021017384079000,"Arvika, Verkstaden",59.654686,12.602492
9021017384276000,"Arvika, Viksgården",59.647178,12.615808
9021017384080000,"Arvika, Vildrosgatan",59.665170,12.566316
9021017384248000,"Arvika, Vildrosgatan vändplan",59.661037,12.558300
9021017384350000,"Arvika, Wallinsvägen",59.634171,12.556995
9021017366001000,Askersbyvägen,59.793100,13.212320
9021017337006000,Aspbergsvägen,60.983362,12.492519
9021017360001000,Asphyttevägen,59.544845,14.277985
9021017385000000,Aspsäter,59.327907,12.770495
9021017383001000,Aspåsen,59.851216,13.709980
9021017385002000,Avelsäter,59.103542,12.789180
9021017385003000,Aversta krog,59.024079,13.115178
9021017383002000,Backa,59.952667,13.668648
9021017383003000,Backarna,59.888081,13.564828
9021017381408000,Backatorp,59.435716,14.002612
9021017337007000,Backebo,60.562799,13.096707
9021017385005000,Backetorpsvägen,59.353337,12.796051
9021017365000000,Backevarv,59.459474,12.029265
9021017337008000,"Bada, korsväg",60.076916,13.094795
9021017384081000,Bagerivägen,59.501791,12.681324
9021017383004000,Basterud,60.113815,13.501104
9021017383005000,Basterudsvägen,60.071632,13.493413
9021017366131000,Bastnäs,60.005544,12.899236
9021017337010000,Bastuknappsvägen,60.943358,12.472641
9021017394000000,Bengtsfors Busstation,59.030590,12.223617
9021017381007000,Bennebergsvägen,59.375274,14.005981
9021017363000000,Berg,59.515422,13.455617
9021017383006000,Berga,60.078122,13.555244
9021017366002000,Bergakorset,59.734900,13.131876
9021017384082000,Bergatorp,59.865985,12.547054
9021017381000000,Bergsjö,59.415512,14.224685
9021017383007000,Bergsäng,60.116598,13.562692
9021017330002000,Billavägen,59.931341,12.352892
