stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021017337057000,Norra Ny kyrka,60.405370,13.274699,1,,
9021017337059000,Nyskoga,60.467923,12.884547,1,,
9021017337061000,Oleby,60.133678,13.035157,1,,
9021017337063000,Rinn,60.144071,13.118945,1,,
9021017337066000,Sandheden,60.194271,12.645958,1,,
9021017337067000,"Sysslebäck, Servicehuset",60.719614,12.880127,1,,
9021017337069000,Skansenvägen,60.239928,13.009510,1,,
9021017337072000,Storbergsvägen,61.021693,12.508399,1,,
9021017337073000,Stöllet Riksväg 62,60.410653,13.272472,1,,
9021017337078000,Sysslebäck Centrum,60.730290,12.870976,1,,
9021017337082000,Södra Brattmon,60.757544,12.770836,1,,
9021017337083000,Södra Klaråsen,60.961039,12.474244,1,,
9021017337086000,Tallholmen,60.084722,13.090469,1,,
9021017337088000,"Torsby, golfbanan",60.140583,13.024869,1,,
9021017337095000,Rådom,60.181723,12.906674,1,,
9021017337100000,"Värnäs, Campingen",60.429628,13.244854,1,,
9021017337101000,Åsteby,60.264995,13.025808,1,,
9021017337104000,Överbyn,60.275261,13.029710,1,,
9021017337105000,"Torsby, Holmesskolan",60.136720,12.993757,1,,
9021017337107000,Norra Gravol,60.355357,13.327768,1,,
9021017337108000,Västra Vadje,60.248171,13.012420,1,,
9021017337109000,Petteråsen,60.225426,13.016398,1,,
9021017337110000,Kollerud,60.215777,13.015792,1,,
9021017337111000,Rottnaberg,60.202664,12.619472,1,,
9021017337112000,Kälkerud,60.152650,13.025975,1,,
9021017337113000,"Torsby, Östmarksvägen",60.134761,13.004295,1,,
9021017337149000,"Torsby, Vinkelvägen",60.150116,13.010986,1,,
9021017337168000,Östra Vadje,60.256149,13.022384,1,,
9021017337170000,Nötövägen,60.289053,13.052473,1,,
9021017337172000,"Stöllet, Konsum",60.410440,13.272144,1,,
9021017337173000,Varån,61.022701,12.467996,1,,
9021017337174000,Svenneby E45,60.102979,13.020937,1,,
9021017337190000,"Likenäs, Vårdcentralen",60.613716,13.041916,1,,
9021017337192000,"Sörmark, gamla skolan",60.239134,12.840254,1,,
9021017337193000,Mörbackamon,60.532077,13.126467,1,,
9021017337424000,"Vitsand, Kyrkan",60.328052,13.008888,1,,
9021017337802000,Rinn Korsningen,60.143974,13.119007,1,,
9021017360000000,"Alkvettern, korsvägen",59.438982,14.403132,1,,
9021017360001000,Asphyttevägen,59.544845,14.277985,1,,
9021017360002000,Bjurbäcken,59.592828,14.187289,1,,
9021017360003000,"Storfors, Norra Kroppavägen",59.550319,14.276994,1,,
9021017360004000,Bjurtjärns kyrka,59.444682,14.330599,1,,
9021017360007000,Brattforsvägen,59.566382,14.108160,1,,
9021017360008000,Dalbäcken,59.468026,14.337097,1,,
9021017360009000,Dalbäckens Lanthandel,59.458632,14.334400,1,,
9021017360011000,England,59.424520,14.363719,1,,
9021017360013000,Fridhem,59.482010,14.328088,1,,
9021017360016000,Gäddtjärn,59.527113,14.057822,1,,
9021017360019000,Jordkullen,59.585045,14.258653,1,,
9021017360020000,Karlstorp,59.510527,14.305521,1,,
9021017360022000,Kungsskogshyttan,59.488498,14.037188,1,,
9021017360024000,Kvarnfallet,59.519854,14.046783,1,,
9021017360025000,Kväggeshyttan,59.363903,14.265710,1,,
9021017360026000,Käxsundet,59.394193,14.328394,1,,
9021017360027000,Ladufallet,59.416172,14.334852,1,,
9021017360028000,Lanforsen,59.421044,14.427569,1,,
9021017360029000,Lindås,59.539111,14.074244,1,,
9021017360030000,"Storfors, Vargbroskolan",59.543939,14.281933,1,,
